completiondate,performed,invoicedate,invoiceid,workorderid,amount,workcode,address,city,zip
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353697060,0,FIGRAS,"910 WEST 14TH STREET",LORAIN,44052
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353702766,0,FI,"3921    ASHLAND AVE",LORAIN,44053
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353703532,0,FII,"4613  MEADOW LN",LORAIN,44055
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353704699,0,FIB,"21  LAKEVIEW DRIVE",GRAFTON,44044
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353705701,0,WFFIF,"34143  JADE CIR","NORTH RIDGEVILLE",44039
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353705819,0,WFFIF,"2602  JACKSON ST",LORAIN,44052
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353706172,0,E26RRN,"42090 Adelbert St",Elyria,44035
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353708039,0,WFNCF,"635  GEORGETOWN AVE",ELYRIA,44035
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353709202,0,E3RNN,"120 KAISER CT",ELYRIA,44035
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353710638,0,FI,"163 Preston St",Elyria,44035
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353710845,0,FI,"520 Appleseed Dr",Lorain,44053
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353711899,0,E3RNN,"1935 HAMILTON AVE",LORAIN,44052
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353717457,0,FII,"35334   ASPEN STREET","NORTH RIDGEVILLE",44039
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353717917,0,DF1,"1426W 39TH ST",LORAIN,44053
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353718120,0,DF1,"5520    LONGBROOK RD",LORAIN,44053
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353718175,0,FIB,"11168  JAQUAY RD","COLUMBIA STATION",44028
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353719960,0,FI,"236 PASADENA AVE",ELYRIA,44035
03/10/26,OHASB06,03/10/26,ASOFFICE20260310,353720014,0,FI,"1710 PARK AVE",ELYRIA,44035
03/10/26,OHASB21,03/10/26,ASOFFICE20260310,353691051,0,FI,"500  STATE ROUTE 61 E",NORWALK,44857
03/10/26,PAASB156,03/10/26,ASOFFICE20260310,353689780,0,ILIS,"319 UNION AVE","NORTH VERSAILLES",15137
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353569888,0,FI,"1010  KIESTER ROAD","SLIPPERY ROCK",16057
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353626788,0,FI,"147 ALPHA DRIVE",WAMPUM,16157
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353633161,0,E26RRN,"306 Stoneboro Rd","Grove City",16127
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353633787,0,E26RRN,"527 Branchton Rd","Slippery Rock",16057
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353640649,0,DFI,"1029  NANTUCKET DR",HERMITAGE,16148
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353659764,0,DF1,"109     ORCHARD AVENUE","ELLWOOD CITY",16117
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353672971,0,FII,"830  PRINDLE ST",SHARON,16146
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353673003,0,FII,"215     SYLVANIA RD","SLIPPERY ROCK",16057
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353673024,0,FII,"503     BLAKE DRIVE",ZELIENOPLE,16063
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353673621,0,FIB,"7335  VINE ST","ENON VALLEY",16120
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353675025,0,FINC,"130  EDGEWOOD AVE","GROVE CITY",16127
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353675500,0,FII,"1415E WASHINGTON ST","NEW CASTLE",16101
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353681447,0,FI,"2029 Mccomb Rd",Stoneboro,16153
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353683502,0,FI,"117 Wakefield Dr",Sharpsville,16150
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353684023,0,FI,"432 Liberty St","Grove City",16127
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353685406,0,FI,"106 Hazen Ave E","Ellwood City",16117
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353685424,0,FI,"4405 Thomason Rd",Sharpsville,16150
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353687654,0,FINC,"438  N BROAD ST","GROVE CITY",16127
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353690761,0,DFI,"214 S. WAYNE ST","NEW CASTLE",16102
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353693654,0,FINC,"246 Oregon Road",Volant,16156
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353702383,0,FII,"775     GAIL DR",HERMITAGE,16148
03/10/26,PAASB20,03/10/26,ASOFFICE20260310,353709348,0,FINC,"912 CADET STREET","NEW CASTLE",16101
03/10/26,WVASB02A,03/10/26,ASOFFICE20260310,353548956,0,E3RNN,"390 NANSFIELD DR","HARPERS FERRY",25425
03/10/26,WVASB02A,03/10/26,ASOFFICE20260310,353574337,0,E3RNN,"175 EDGEWOOD SCHOOL RD","SHENANDOAH JCT",25442
03/10/26,WVASB02A,03/10/26,ASOFFICE20260310,353574822,0,E3RNN,"4 WILLIS DR",SHEPHERDSTOWN,25443
03/10/26,WVASB02A,03/10/26,ASOFFICE20260310,353607509,0,E3RNN,"269 DAM FOUR RD",SHEPHERDSTOWN,25443
03/10/26,WVASB02A,03/10/26,ASOFFICE20260310,353608345,0,E3RNN,"275 MASON DR","HARPERS FERRY",25425
03/10/26,WVASB02A,03/10/26,ASOFFICE20260310,353608347,0,E3RNN,"223 MARIE DR","CHARLES TOWN",25414
03/10/26,WVASB02A,03/10/26,ASOFFICE20260310,353608386,0,E3RNN,"214 CARTER AVE","HARPERS FERRY",25425
03/10/26,WVASB02A,03/10/26,ASOFFICE20260310,353656513,0,FINC,"5111 APPLE HARVEST DRIVE",GERRARDSTOWN,25420
03/10/26,WVASB02A,03/10/26,ASOFFICE20260310,353675594,0,DF1,"3466    SCRABBLE RD",SHEPHERDSTOWN,25443
03/10/26,WVASB02A,03/10/26,ASOFFICE20260310,353677243,0,DF1,"256  GINGER DR",KEARNEYSVILLE,25430
03/10/26,WVASB02A,03/10/26,ASOFFICE20260310,353680585,0,FI,"61 Harding Ln",Inwood,25428
03/10/26,WVASB02A,03/10/26,ASOFFICE20260310,353680646,0,FI,"48 Marie Dr","Charles Town",25414
03/10/26,WVASB02A,03/10/26,ASOFFICE20260310,353682488,0,FI,"17 Goldenrod Dr","Charles Town",25414
03/10/26,WVASB02A,03/10/26,ASOFFICE20260310,353684053,0,FI,"508 Forest View Dr",Kearneysville,25430
03/10/26,WVASB02A,03/10/26,ASOFFICE20260310,353691980,0,DFI,"11  ORLEANS DR",SHEPHERDSTOWN,25443
03/10/26,WVASB02A,03/10/26,ASOFFICE20260310,353717508,0,FI,"19      BARREL HORSE DR","CHARLES TOWN",25414
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353635759,0,E3RNN,"23 OTERO LN",HEDGESVILLE,25427
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353637424,0,E3RNN,"1794 SCRABBLE RD",MARTINSBURG,25404
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353656140,0,E3RNN,"20 HADLEY DR","FALLING WTRS",25419
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353680450,0,FI,"1110 Washington Ave",Martinsburg,25401
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353680571,0,FI,"112 Music Ct",Martinsburg,25401
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353682157,0,FI,"224 Edward Dr",Martinsburg,25404
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353682211,0,FI,"147 Toronado Dr",Martinsburg,25403
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353682596,0,FI,"31 Tidewater Ter","Falling Waters",25419
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353683150,0,FI,"16 Quince Tree Dr",Martinsburg,25403
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353683250,0,FI,"20 Belgian Run",Martinsburg,25404
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353683433,0,FI,"401 W Martin St",Martinsburg,25401
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353683706,0,FI,"180  RELIANCE RD",MARTINSBURG,25403
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353683900,0,FI,"46  SUPREME CT",MARTINSBURG,25403
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353684355,0,FI,"273 Achilla Ter",Martinsburg,25404
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353684518,0,FI,"110 Finney Dr",Martinsburg,25405
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353685236,0,FI,"46 Daffodil Ct",Martinsburg,25404
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353685622,0,FI,"1619 N St",Martinsburg,25401
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353685638,0,FI,"25 Norcross Ct",Martinsburg,25403
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353685783,0,FI,"52 Clendenin Dr",Martinsburg,25404
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353685913,0,FI,"45 Litchfield Ln E",Martinsburg,25404
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353685971,0,FI,"70 Malibu Ct",Martinsburg,25405
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353686298,0,FI,"19 Ontario Dr","Falling Waters",25419
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353687650,0,FINC,"253 FLAGSTAFF CIRCLE",MARTINSBURG,25405
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353688437,0,LISTNG,"227 CORALBERRY DRIVE",MARTINSBURG,25401
03/10/26,WVASB02B,03/10/26,ASOFFICE20260310,353693306,0,FII,"39 Chincoteague Ln",Martinsburg,25403
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353552445,0,E3RNN,"112 NORTHVIEW LN","RED HOUSE",25168
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353632963,0,E3RNN,"1820 FUDGES CREEK RD",BARBOURSVILLE,25504
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353638626,0,FIB,"205  WHISPERING WOODS RD",CHARLESTON,25304
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353649479,0,FI,"108 JEFF MAR DR",HUNTINGTON,25702
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353649731,0,FIB,"305 BENT TREE ESTS","SCOTT DEPOT",25560
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353650353,0,FII,"136 FOUNTAIN WAY","SCOTT DEPOT",25560
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353656547,0,FINC,"518 HIGH ST","SAINT ALBANS",25177
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353656603,0,FINC,"118 LUDE RD","SOUTH CHARLESTON",25309
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353657043,0,E3RNN,"639 JANE ST",CHARLESTON,25302
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353679693,0,E26RRN,"302 Harbour Ln",Hurricane,25526
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353680286,0,FI,"91 Lake Shore Dr",Charleston,25313
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353681154,0,FII,"2807 Madison Ave","Saint Albans",25177
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353683494,0,FI,"2 Michael St","Scott Depot",25560
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353685639,0,FI,"144 Clarmor St",Culloden,25510
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353691432,0,DFI,"503     WEIMER AVE","SAINT ALBANS",25177
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353692506,0,WFFIF,"303  OHIO AVE N","SAINT ALBANS",25177
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353692964,0,ILIS,"153 GLEN OAKS CT",HURRICANE,25526
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353693330,0,FI,"219 2nd St N","Saint Albans",25177
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353705413,0,WFFIF,"311 MCDOWELL AVE",DUNBAR,25064
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353705893,0,WFNCF,"714  BEACON ST","SAINT ALBANS",25177
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353707846,0,FINC,"2  CORDOBA ESTATES",HURRICANE,25526
03/10/26,WVASB06,03/10/26,ASOFFICE20260310,353710305,0,WFFIF,"1045  GRANT ST",CHARLESTON,25302
03/11/26,ILASB01,03/11/26,ASOFFICE20260311,353161807,0,FII,"45  BROADWAY ST",SHELBY,44875
03/11/26,ILASB01,03/11/26,ASOFFICE20260311,353346348,0,FINT,"194   W MAIN ST",SHELBY,44875
03/11/26,INASB11,03/11/26,ASOFFICE20260311,353550528,0,E3RNN,"230 W 7TH ST",HARROD,45850
03/11/26,INASB11,03/11/26,ASOFFICE20260311,353638830,0,DF1,"3456  SHAWNEE RD",LIMA,45806
03/11/26,INASB11,03/11/26,ASOFFICE20260311,353651375,0,DFI,"803N FRONT ST",ALGER,45812
03/11/26,INASB11,03/11/26,ASOFFICE20260311,353655045,0,FIGRAS,"1104 N UNION ST",LIMA,45801
